case_id,model_name,expected_rule_status,rule_engine_status,rule_engine_correct,core_rule_engine_executed,rule_version,expected_decision,final_decision,decision_correct,decision_fallback,llm_calls,citation_integrity,document_processing_seconds,policy_retrieval_seconds,rule_engine_seconds,decision_agent_seconds,report_generation_seconds,end_to_end_seconds
01_standard_approved,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,30.722037100000307,,0.03157400000054622,,0.03456290000031004,
02_annual_limit_boundary,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.26831260000471957,,0.027194499998586252,,0.023511299994424917,
03_below_deductible,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.27455299999564886,,0.029358400002820417,,0.02659049999783747,
04_zero_copayment,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.2714521000016248,,0.03346659999806434,,0.028023300001223106,
05_zero_deductible,rules-only,approved,approved,True,True,mvp-1.0,approved,,,False,0,True,0.27506739999807905,,0.02611569999862695,,0.026715200001490302,
01_annual_limit_exceeded,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.2747644999981276,,0.03032550000352785,,0.028400100003636908,
02_surgery_sublimit,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.28218159999960335,,0.023655600001802668,,0.024307599996973295,
03_room_limit_proportional,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.2738910999978543,,0.03197189999627881,,0.028131900005973876,
04_waiting_period_partial,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.3392500999980257,,0.02894930000184104,,0.024934699998993892,
05_combined_sublimit_costshare,rules-only,partially_approved,partially_approved,True,True,mvp-1.0,partially_approved,,,False,0,True,0.2865908999956446,,0.0272428000025684,,0.027887800002645236,
01_confirmed_exclusion,rules-only,rejected,rejected,True,True,mvp-1.0,rejected,,,False,0,True,0.314962899996317,,0.025942700005543884,,0.024951200000941753,
02_out_of_network,rules-only,rejected,rejected,True,True,mvp-1.0,rejected,,,False,0,True,0.27502970000205096,,0.029433100004098378,,0.026410299993585795,
01_policy_number_mismatch,rules-only,manual_review,manual_review,True,False,policy-match-required,manual_review,,,False,0,True,0.2789559999946505,,0.01803979999385774,,0.026170000004640315,
02_missing_policy_terms,rules-only,manual_review,manual_review,True,False,policy-terms-required,manual_review,,,False,0,True,0.2279779000018607,,0.024125699994328897,,0.02860629999486264,
03_invalid_bill_total,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.26697629999398487,,0.024452099998597987,,0.02698979999695439,
04_incomplete_bill_fields,rules-only,manual_review,manual_review,True,False,policy-terms-required,manual_review,,,False,0,True,0.16883010000310605,,0.022700300003634766,,0.027311500001815148,
05_low_quality_scan,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,1.1396454000059748,,0.02862759999698028,,0.026872399997955654,
06_waiting_period_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.3521095999967656,,0.025414300005650148,,0.027669600000081118,
07_preauthorization_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.4242774999947869,,0.02638180000212742,,0.027438200006145053,
08_network_status_unknown,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.28064079999603564,,0.028562999999849126,,0.02818699999625096,
09_possible_exclusion,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.32648100000369595,,0.026153599996177945,,0.02632859999721404,
10_room_basis_missing,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2838391000041156,,0.028590499998244923,,0.0248963999983971,
11_multiple_bills_unconfirmed,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.29464820000430336,,0.02785359999688808,,0.027798299997812137,
12_possible_duplicate_charge,rules-only,manual_review,manual_review,True,True,mvp-1.0,manual_review,,,False,0,True,0.2991156999996747,,0.029240600000775885,,0.02894370000285562,
